发放时间,渠道,金额,数量,团长ID,团长人数,优惠券编号
2017-12-04 11:47:46,heyingli,1000,3,225610,1,7246
2017-12-04 11:56:42,heyingli,1000,2,255450,1,7246
2017-12-04 11:57:23,heyingli,1000,6,300221,1,7194
2017-12-04 14:10:28,heyingli,1000,2,318265,1,7246
2017-12-04 14:10:40,heyingli,1000,2,341987,1,7246
2017-12-04 14:10:52,heyingli,1000,2,859984,1,7246
2017-12-04 14:11:03,heyingli,1000,5,861599,1,7246
2017-12-04 14:11:18,heyingli,1000,3,866810,1,7246
2017-12-04 14:11:32,heyingli,1000,5,876506,1,7246
2017-12-04 14:11:46,heyingli,1000,2,879647,1,7246
2017-12-04 14:13:15,heyingli,1000,2,189186,1,7246
2017-12-04 14:13:34,heyingli,1000,5,545299,1,7246
2017-12-04 14:13:47,heyingli,1000,2,839366,1,7246
2017-12-04 14:15:02,heyingli,1000,3,65527,1,7246
2017-12-04 14:15:16,heyingli,1000,3,189186,1,7246
2017-12-04 14:15:31,heyingli,1000,3,286816,1,7246
2017-12-04 14:15:45,heyingli,1000,5,839580,1,7246
2017-12-04 14:16:05,heyingli,1000,2,863810,1,7246
2017-12-04 14:16:18,heyingli,1000,2,865334,1,7246
2017-12-04 14:28:56,heyingli,1000,3,65527,1,7246
2017-12-04 15:31:38,heyingli,1000,10,95948,1,7194
2017-12-04 18:21:33,heyingli,1000,3,85184,1,7194
2017-12-06 15:41:27,heyingli,1000,3,155714,1,7194
2017-12-06 16:41:18,heyingli,1000,5,300221,1,7194
2017-12-07 10:36:49,heyingli,1000,3,255450,1,7194
2017-12-07 10:37:06,heyingli,1000,2,862976,1,7194
2017-12-07 10:37:22,heyingli,1000,2,887708,1,7194
2017-12-07 10:37:36,heyingli,1000,2,890105,1,7194
2017-12-07 11:02:24,heyingli,1000,2,890668,1,7194
2017-12-07 11:08:14,heyingli,1000,3,87182,1,7194
2017-12-07 11:08:26,heyingli,1000,5,189186,1,7194
2017-12-07 11:08:37,heyingli,1000,3,341987,1,7194
2017-12-07 11:08:48,heyingli,1000,2,829710,1,7194
2017-12-07 11:08:59,heyingli,1000,5,836432,1,7194
2017-12-07 11:09:13,heyingli,1000,3,859984,1,7194
2017-12-07 11:09:25,heyingli,1000,5,861599,1,7194
2017-12-07 11:09:37,heyingli,1000,2,882722,1,7194
2017-12-07 11:09:52,heyingli,1000,8,890105,1,7194
2017-12-11 15:06:50,heyingli,1000,3,39871,1,7194
2017-12-13 10:25:00,heyingli,1000,3,31198,1,7194
2017-12-13 10:25:16,heyingli,1000,2,254758,1,7194
2017-12-13 10:25:35,heyingli,1000,2,622344,1,7194
2017-12-13 10:26:13,heyingli,1000,5,836432,1,7194
2017-12-13 10:26:35,heyingli,1000,3,882722,1,7194
2017-12-13 10:26:50,heyingli,1000,2,886662,1,7194
2017-12-13 10:27:01,heyingli,1000,3,887708,1,7194
2017-12-13 10:27:16,heyingli,1000,2,887732,1,7194
2017-12-13 10:27:30,heyingli,1000,2,894794,1,7194
2017-12-13 10:28:16,heyingli,1000,2,622344,1,7194
2017-12-13 10:28:38,heyingli,1000,2,637961,1,7194
2017-12-13 10:30:27,heyingli,1000,2,762288,1,7194
2017-12-13 10:30:44,heyingli,1000,5,796048,1,7194
2017-12-13 10:33:04,heyingli,1000,5,902792,1,7194
2017-12-13 10:36:09,heyingli,1000,2,905520,1,7194
2017-12-13 10:36:54,heyingli,1000,2,226283,1,7194
2017-12-13 10:37:27,heyingli,1000,2,322177,1,7194
2017-12-13 10:39:09,heyingli,1000,10,516235,1,7194
2017-12-13 10:39:22,heyingli,1000,10,522438,1,7194
2017-12-13 10:39:36,heyingli,1000,5,622344,1,7194
2017-12-13 10:39:59,heyingli,1000,3,627229,1,7194
2017-12-13 10:40:12,heyingli,1000,3,637961,1,7194
2017-12-13 10:40:31,heyingli,1000,5,765692,1,7194
2017-12-13 10:40:54,heyingli,1000,5,874468,1,7194
2017-12-13 10:41:09,heyingli,1000,2,883038,1,7194
2017-12-13 10:41:29,heyingli,1000,3,890136,1,7194
2017-12-13 10:41:46,heyingli,1000,2,892113,1,7194
2017-12-13 10:42:08,heyingli,1000,2,910070,1,7194
2017-12-13 10:43:05,heyingli,1000,2,913367,1,7194
2017-12-13 10:43:47,heyingli,1000,2,92310,1,7194
2017-12-13 10:44:10,heyingli,1000,2,246713,1,7194
2017-12-13 10:44:32,heyingli,1000,2,569149,1,7194
2017-12-13 10:44:47,heyingli,1000,5,627229,1,7194
2017-12-13 10:45:00,heyingli,1000,5,637961,1,7194
2017-12-13 10:45:28,heyingli,1000,2,667286,1,7194
2017-12-13 10:45:43,heyingli,1000,5,878273,1,7194
2017-12-13 10:46:04,heyingli,1000,5,882722,1,7194
2017-12-13 10:47:12,heyingli,1000,2,913990,1,7194
2017-12-13 10:47:41,heyingli,1000,3,92310,1,7194
2017-12-13 10:47:56,heyingli,1000,8,226283,1,7194
2017-12-13 10:50:09,heyingli,1000,2,725509,1,7194
2017-12-13 10:50:22,heyingli,1000,3,892113,1,7194
2017-12-13 10:50:27,heyingli,1000,3,892113,1,7194
2017-12-13 10:50:45,heyingli,1000,3,913367,1,7194
2017-12-13 10:51:46,heyingli,1000,2,60030,1,7194
2017-12-13 10:52:08,heyingli,1000,2,603302,1,7194
2017-12-13 10:52:14,heyingli,1000,2,603302,1,7194
2017-12-13 10:52:34,heyingli,1000,2,786112,1,7194
2017-12-13 10:52:47,heyingli,1000,5,796048,1,7194
2017-12-13 10:56:18,heyingli,1000,2,907428,1,7194
2017-12-13 10:56:23,heyingli,1000,2,907428,1,7194
2017-12-13 10:56:57,heyingli,1000,3,910070,1,7194
2017-12-13 10:58:13,heyingli,1000,2,232783,1,7194
2017-12-13 10:58:58,heyingli,1000,2,513456,1,7194
2017-12-13 10:59:30,heyingli,1000,2,601724,1,7194
2017-12-13 10:59:52,heyingli,1000,8,603302,1,7194
2017-12-13 11:00:22,heyingli,1000,2,888138,1,7194
2017-12-13 11:01:46,heyingli,1000,2,892349,1,7194
2017-12-13 11:10:35,heyingli,1000,5,914533,1,7194
2017-12-15 11:36:49,heyingli,1000,2,265086,1,7246
2017-12-15 11:37:09,heyingli,1000,2,492858,1,7246
2017-12-15 11:37:27,heyingli,1000,10,756833,1,7246
2017-12-15 11:37:49,heyingli,1000,3,786112,1,7246
2017-12-15 11:38:10,heyingli,1000,2,831359,1,7246
2017-12-15 11:38:30,heyingli,1000,2,903632,1,7246
2017-12-15 11:39:02,heyingli,1000,2,909939,1,7246
2017-12-15 11:39:30,heyingli,1000,3,910070,1,7246
2017-12-15 11:39:47,heyingli,1000,2,925540,1,7246
2017-12-15 11:40:24,heyingli,1000,2,929456,1,7246
2017-12-15 11:40:39,heyingli,1000,2,932317,1,7246
2017-12-18 11:04:01,heyingli,1000,5,175181,1,7246
2017-12-18 11:04:16,heyingli,1000,2,406703,1,7246
2017-12-18 11:04:35,heyingli,1000,2,495648,1,7246
2017-12-18 11:04:50,heyingli,1000,3,513456,1,7246
2017-12-18 11:05:04,heyingli,1000,10,856273,1,7246
2017-12-18 11:05:22,heyingli,1000,8,892349,1,7246
2017-12-18 11:05:35,heyingli,1000,5,913634,1,7246
2017-12-18 11:05:54,heyingli,1000,2,919516,1,7246
2017-12-18 11:06:15,heyingli,1000,3,925540,1,7246
2017-12-18 11:06:31,heyingli,1000,3,932317,1,7246
2017-12-18 11:07:54,heyingli,1000,2,38388,1,7246
2017-12-18 11:08:37,heyingli,1000,2,235154,1,7246
