"282","0","0","0","0","0","0","0","0","0","0","0","0","0","9&1110.90","83&8024.90","27&2385.70","28&2809.20","3&464.70","21&2133.60","4&391.70","14&1498.20","18&1951.10","21&2228.50"
"289","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18&1255.40","43&3772.40","27&2052.40","29&2533.50","25&1859.70","10&808.10","12&693.70","3&174.70","3&257.70"
"290","0","0","0","0","0","0","0","0","0","0","0","0","0","0","62&6042.30","56&6479.90","62&6646.10","76&7689.80","45&4522.60","81&6298.10","56&4556.90","57&4078.40","72&6793.00"
"299","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5&450.00"
"302","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3&237.90","7&621.60","16&1515.30","0","4&410.70","3&363.90","5&517.40"
"316","0","0","0","0","0","0","0","0","0","0","0","205&19313.80","115&12098.20","100&10497.30","231&21883.90","162&15053.40","140&16714.20","96&8413.60","58&4524.40","124&10500.80","130&11133.10","124&10702.80","239&26013.60"
"320","0","0","0","0","0","0","0","85&8547.30","214&20989.20","156&12177.50","362&32335.40","469&42059.00","172&21734.90","92&8805.60","162&14535.60","148&13302.50","181&16348.40","144&14082.50","134&11794.70","179&15006.20","195&18228.60","222&45597.30","330&32736.40"
"344","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8&1061.90"
"345","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5&517.40","15&1359.40","1&98.00","1&58.80","1&109.90","0","1&119.00"
"349","0","0","0","0","0","0","0","10&837.90","4&385.00","0","0","0","0","0","15&1302.50","28&3065.40","15&1667.80","14&1550.60","15&1748.40","1&89.90","1&99.00","3&337.80","18&1829.40"
"358","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1&69.90","13&1098.40","12&941.10","7&604.70","9&532.60"
"364","0","0","0","0","0","0","7&663.00","7&617.80","6&575.80","8&819.80","4&354.80","10&771.30","2&177.90","0","0","13&890.30","16&1336.70","32&3390.30","15&1473.00","20&2713.90","17&2526.70","8&592.20","6&466.60"
"367","0","0","0","0","0","0","0","0","0","0","0","0","27&2411.30","5&420.00","10&776.00","9&830.60","11&1011.50","10&777.40","14&1615.60","5&675.80","2&267.90","0","1&149.00"
"368","0","0","0","0","0","0","0","0","0","0","0","0","0","117&10390.00","375&34255.10","284&27875.00","310&32182.80","233&21754.00","171&16356.00","182&15784.60","155&15028.50","119&9816.10","158&13056.50"
"376","0","0","0","0","0","0","0","0","0","34&3123.90","33&3450.50","58&4662.70","23&2810.20","19&1908.50","69&6688.00","66&6018.90","23&2934.70","43&5603.60","57&5470.80","65&6538.90","74&8400.70","24&2596.40","58&5066.70"
"378","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22&2061.80","19&1756.00","21&1785.60","40&3573.40","71&6054.00","60&6539.90","50&4101.80","99&7919.10"
"419","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11&827.50","2&193.00","0","1&177.00","1&149.00","1&88.00"
"427","0","0","0","0","0","0","0","0","0","0","0","0","0","1&79.00","38&3601.00","23&2162.60","22&2980.40","20&2127.30","20&1879.10","23&1693.40","14&1270.60","14&891.30","7&475.50"
"430","0","0","0","0","0","0","0","0","37&2770.20","155&12628.80","311&33474.40","649&62792.00","355&44121.60","270&28002.40","760&69944.50","1010&98047.50","938&93964.40","1129&114131.00","1046&100253.70","1261&110697.60","1864&192656.40","1312&151376.40","1758&176690.60"
"432","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31&3424.50","32&3027.20","14&1913.30","32&3559.80","21&2147.50","23&2231.40"
