"43076","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","214","314","319"
"43287","0","0","0","0","0","0","0","0","0","0","0","0","0","70","183","103","224","175"
"43351","0","0","0","0","0","0","0","0","0","0","106","190","99","82","224","183","151","93"
"43517","0","0","0","0","0","0","0","0","0","20","163","185","147","74","159","110","92","78"
"44186","0","0","0","0","0","0","0","0","0","7","0","0","0","0","189","350","405","400"
"45427","0","0","0","0","0","0","0","0","1","46","179","305","149","59","125","169","112","90"
"45879","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45","68"
"46085","0","0","0","0","0","0","0","0","0","0","0","62","273","98","491","298","494","320"
"46325","0","0","0","0","0","0","0","0","0","0","0","0","0","12","108","114","103","94"
"46833","0","0","0","0","0","0","0","0","22","27","33","55","30","5","119","80","82","98"
"47190","0","0","0","0","0","0","0","0","0","0","0","0","0","0","197","322","153","152"
"47743","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","136"
"47755","0","0","0","0","0","0","0","0","0","0","115","219","95","63","208","256","252","236"
"47991","0","0","0","0","0","0","0","0","0","0","0","0","0","0","83","202","211","228"
"48416","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","234","664"
"48449","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","93"
"48464","0","0","0","0","0","0","0","0","0","0","15","0","18","1","91","93","143","113"
"48964","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","77","30","124"
"49633","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","67","73","69"
"49859","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","210","499","609"
"50694","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","108","191"
"50924","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","403","629","326"
"51009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","109","91"
"51049","0","0","0","0","0","0","0","0","0","94","241","283","164","87","224","353","298","277"
"53143","0","0","0","0","0","0","0","0","0","0","0","0","0","0","212","491","370","211"
"53298","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43","79"
"53849","0","0","0","0","0","0","0","0","0","0","102","229","154","56","156","224","243","248"
"54775","0","0","0","0","0","0","0","0","0","30","78","207","116","100","196","208","190","176"
"55926","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","307","268","187"
"55962","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","127","76"
"57580","0","0","0","0","0","0","0","0","0","60","621","1372","575","549","1451","1176","1398","1015"
"57612","0","0","0","0","0","0","0","0","0","0","240","230","95","100","143","131","154","200"
"59470","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","88"
"60036","0","0","0","0","0","0","0","0","0","0","51","90","71","22","81","61","103","147"
"60141","0","0","0","0","0","0","0","0","0","0","89","210","187","103","332","322","237","219"
"60787","0","0","0","0","0","0","0","0","0","0","21","96","85","30","77","108","90","88"
"62186","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","128"
"62454","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38","283","135"
"63387","0","0","0","0","0","0","0","0","0","0","116","252","93","33","96","120","156","89"
"65028","0","0","0","0","0","0","0","0","0","0","175","248","97","54","83","77","66","120"
"65595","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","67"
"67280","0","0","0","0","0","0","0","0","0","0","15","179","115","61","112","65","97","115"
"67413","0","0","0","0","0","0","0","0","0","0","0","24","405","270","346","236","484","466"
"67417","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","105","131"
"67527","0","0","0","0","0","0","0","0","0","0","98","292","134","86","183","183","153","161"
"67604","0","0","0","0","0","0","0","0","0","0","0","0","0","7","156","151","107","93"
"67902","0","0","0","0","0","0","0","0","0","0","0","84","48","63","133","136","150","105"
"70264","0","0","0","0","0","0","0","0","0","0","0","34","99","61","158","124","206","115"
"71721","0","0","0","0","0","0","0","0","0","0","0","0","0","0","151","290","174","137"
"71811","0","0","0","0","0","0","0","0","0","0","0","0","0","0","204","326","138","104"
"72108","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","103","172"
"72810","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","87"
"73198","0","0","0","0","0","0","0","0","0","0","76","149","157","96","157","110","214","152"
"73741","0","0","0","0","0","0","0","0","0","0","5","545","586","233","475","312","449","599"
"74503","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","92","30","78"
"75130","0","0","0","0","0","0","0","0","0","0","0","216","162","209","366","308","300","226"
"75156","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","79","120","91"
"75560","0","0","0","0","0","0","0","0","0","0","0","0","57","84","382","177","192","129"
"76818","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","219","218"
"78984","0","0","0","0","0","0","0","0","0","0","0","207","300","67","398","182","217","251"
"80017","0","0","0","0","0","0","0","0","0","0","0","75","60","30","75","78","68","72"
"81255","0","0","0","0","0","0","0","0","0","0","0","57","27","28","95","100","170","132"
