"21","0","8&554.00","1&89.00","24&994.28","10&1259.00","45&5400.00","32&2739.60","60&5943.40","60&8753.70","31&3170.10","25&2141.60","40&3121.30","34&3465.50","5&406.80","0","0","0","0","0"
"8634","0","0","0","0","0","19&1727.00","40&2711.90","96&9137.00","279&28676.60","263&24276.70","813&73238.20","1008&91898.80","556&66976.90","684&69350.80","1055&99030.10","1011&94027.20","1020&100013.80","631&61473.50","750&64660.10"
"8671","0","0","0","0","0","0","0","1&213.00","0","0","0","0","0","0","0","0","0","0","0"
"9021","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9083","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11&2165.90","5&573.50","8&767.50"
"9491","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1&89.90"
"9547","0","0","0","0","77&8646.00","53&6034.00","37&3124.80","73&9658.80","407&49416.90","154&15452.40","381&37266.60","375&35018.20","197&21517.20","103&9662.20","379&32581.60","375&33813.80","422&42143.00","391&37738.30","352&31659.00"
"9667","0","0","0","0","0","0","0","0","0","0","0","44&4472.50","75&6777.50","30&2660.00","30&2944.90","45&4099.30","24&2485.60","5&335.70","11&1126.20"
"9698","0","0","0","0","0","0","0","2&174.00","1&120.00","2&188.90","0","1&110.00","6&676.70","0","4&400.90","35&3464.80","71&7610.70","74&8079.90","73&6608.20"
"9711","0","0","0","0","47&5493.00","181&22846.00","307&31155.50","284&25102.30","489&47438.70","242&18168.60","265&24243.40","180&16822.60","136&14062.30","63&5952.30","93&8252.60","94&8550.50","116&12794.90","133&12965.30","145&13090.40"
"9714","0","0","0","0","0","0","6&543.00","16&1318.50","6&1012.90","3&235.90","11&1117.60","3&272.90","11&833.20","1&80.00","0","0","0","0","0"
"9731","0","0","0","0","0","0","0","1&99.00","12&988.60","18&1418.00","65&5632.20","37&3744.20","18&1631.50","20&1893.80","14&1328.60","19&1741.50","19&1817.70","14&1249.50","14&1143.20"
"9781","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15&1315.00","10&818.30"
"10020","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1&119.00","1&128.00"
"10076","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1&99.90","3&283.80","6&577.80","5&443.70","0"
"10081","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41&3490.70","36&2872.00"
"10099","0","0","0","0","0","0","0","15&1142.50","77&7047.20","41&3584.00","40&3514.00","53&4700.90","17&1327.20","25&2082.90","15&1328.30","42&3612.90","24&2759.40","37&3127.40","18&1415.50"
"10116","0","0","0","0","0","0","0","0","0","0","0","16&1021.10","9&735.70","5&461.80","5&395.00","11&908.20","26&2693.60","11&966.80","1&48.00"
"10138","0","0","0","0","0","0","0","8&862.90","4&402.80","4&306.80","2&148.90","7&677.00","11&901.70","8&754.90","29&2601.00","36&3597.20","23&2150.60","27&2207.60","10&901.30"
"10191","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10367","0","0","0","0","0","0","0","0","0","0","0","3&361.80","0","3&236.90","0","2&226.00","4&507.70","2&126.70","2&143.00"
"10388","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2&138.90"
"10474","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11&1063.30","2&129.80","3&145.60"
"10733","0","0","0","0","0","0","0","0","0","0","0","93&9867.50","85&8472.70","75&7202.70","112&10685.90","79&7241.50","68&7252.10","51&4807.30","15&1494.80"
"10804","0","0","0","0","0","0","16&1859.90","18&1875.70","59&8987.50","24&2977.10","62&5519.90","37&2686.20","20&2059.20","33&3570.50","59&6016.90","45&4648.90","42&4837.70","58&5030.70","62&4918.00"
"10835","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28&2171.50"
"10838","0","0","0","0","0","0","0","0","0","0","0","107&8628.20","40&2808.30","17&1758.90","13&1480.40","6&415.70","28&2850.60","5&545.70","6&416.50"
"10872","0","0","0","0","0","3&442.00","22&1869.90","102&10072.60","106&10947.10","107&8976.00","179&14450.90","203&17536.90","78&7384.60","20&1805.20","52&5040.60","47&4121.00","17&1801.50","63&5629.60","15&1355.60"
"11002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8&881.90","16&1305.80","14&1012.40"
"11515","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14&1225.90","15&1417.90","4&460.50","11&917.40","3&199.70"
"11558","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5&386.60","12&935.30"
"11623","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","392&34409.00","457&45133.80","301&27521.30","421&38336.60"
"11756","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","86&7818.60","22&2018.60"
"11768","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10&2337.30","20&1799.40"
"11770","0","0","0","0","0","0","46&3610.90","81&7960.10","300&28618.60","410&37105.50","586&50531.80","588&56725.60","428&43708.70","210&20750.40","495&46822.50","407&39903.00","544&54884.90","429&45893.60","473&43303.90"
"11787","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24&1811.00","27&2889.00"
"11798","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11853","0","0","0","0","0","0","0","0","0","0","0","12&1205.80","40&6575.50","89&9336.70","108&11510.70","61&7261.50","118&13317.90","87&8414.30","20&1811.30"
"11880","0","0","0","0","0","0","0","0","0","1&39.90","63&5282.80","126&10740.40","48&3942.40","9&883.70","6&493.90","19&1531.00","21&2277.90","12&1931.30","17&1868.30"
"11956","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12187","0","0","0","0","0","0","0","0","0","0","0","0","0","16&1679.00","40&3501.00","29&2694.60","34&3990.20","22&2996.70","3&717.90"
"12396","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19&1876.20","34&2804.30","64&5662.20"
"12465","0","0","0","0","0","33&7425.00","51&4812.10","81&8706.70","77&12326.20","153&11666.10","142&11747.30","70&5990.80","43&4535.60","32&3429.90","78&6970.70","69&6374.90","61&5796.20","71&6585.00","87&9259.50"
"12470","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2&139.80"
"12744","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56&5416.40","30&2555.60"
"12816","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8&665.60"
"13020","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23&1897.80"
"13068","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3&299.70","13&1049.20","13&1318.40","2&211.00","3&167.90"
"13257","0","0","0","0","0","72&8191.00","8&842.00","53&3223.00","34&4035.40","56&5303.30","132&12003.90","94&6896.20","75&9380.30","15&1332.50","95&8828.70","88&8475.00","38&4356.70","30&2532.70","25&2564.20"
"13373","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10&794.70"
"13401","0","0","0","0","0","64&5791.00","32&2787.60","19&1902.20","35&3672.70","106&9650.20","485&38961.60","407&34686.20","169&17397.90","41&4027.10","192&17606.50","143&12934.10","134&12369.40","159&19395.30","153&14717.10"
"13737","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23&1724.30"
"13915","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1&126.00"
"13917","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","66&5821.60"
"13922","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10&922.50","7&514.50","4&244.90","0"
"14112","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14146","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18&1590.40","16&1558.60","7&767.10"
"14196","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56&4843.80","95&8908.40","128&12950.20","103&9745.80","93&9108.50"
"14217","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16&1508.80","49&3748.20"
"14253","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45&3554.20","34&2889.90","67&6466.20","30&2819.50","24&2055.20"
"14284","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14409","0","0","0","0","0","0","0","0","0","0","0","10&668.90","15&1680.30","2&238.00","19&1700.10","13&1399.10","13&1254.90","22&1847.70","7&627.50"
"14450","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1&109.90","0"
"14796","0","0","0","0","0","0","1&46.00","0","0","0","0","0","0","0","0","0","0","0","0"
"14804","0","0","0","0","0","0","0","0","0","29&3192.30","52&7134.60","82&11396.70","48&6378.10","27&2842.50","44&4278.60","29&2846.30","47&6635.00","39&3701.30","33&3515.50"
"14807","0","0","0","0","0","0","0","0","0","0","0","23&2090.50","32&3874.90","33&2979.80","123&10969.50","58&4666.20","53&5090.00","102&8768.00","108&9346.10"
"14871","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23&2112.20","17&1382.10"
"14897","0","0","0","0","0","17&2125.00","4&415.00","49&9025.90","22&4315.00","12&1175.80","75&8420.10","136&12162.10","55&6804.40","56&5312.90","136&13552.60","83&8326.20","139&14108.20","80&8808.20","72&7769.80"
"15434","0","0","0","0","0","0","5&586.00","11&1310.70","11&1417.50","27&3438.70","39&4803.10","58&5973.80","19&1705.60","23&3019.10","13&1419.30","29&3356.20","20&2032.30","34&4797.60","25&2400.80"
"15481","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1&49.90","1&59.90"
"15559","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8&585.90","6&664.30","2&187.90"
"15702","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5&381.50"
